x y R1 R2 R3 R1x R1y R1z R2x R2y R2z R3x R3y R3z
0 42 624655.308248 609347.890728 624428.580043 -4.40214e-009 619584 79433.9 -529951 -298318 -38245.9 529951 -321266 76491.9
0 43 620584.502864 599696.374739 620341.898485 -4.04759e-006 615416 79924.2 -523157 -290718 -37755.6 523157 -324698 75511.2
0 44 616418.155378 590110.582271 616219.297981 7.47742e-010 611150 80414.5 -516363 -283216 -37265.3 516363 -327934 74530.5
0 45 612156.365183 580589.967198 612056.941625 -5.36679e-009 606786 80904.9 -509568 -275812 -36774.9 509568 -330974 73549.9
0 46 607799.236923 571133.975059 607851.069951 -2.96189e-008 602324 81395.2 -502774 -268506 -36284.6 502774 -333818 72569.2
0 47 603346.880858 561742.042987 603598.001007 1.94663e-008 597764 81885.5 -495980 -261298 -35794.3 495980 -336466 71588.5
0 48 598799.413242 552413.599647 599294.130300 2.39888e-008 593106 82375.9 -489186 -254188 -35303.9 489186 -338918 70607.9
0 49 594156.956733 543148.065172 594935.930586 -1.90969e-008 588350 82866.2 -482391 -247177 -34813.6 482391 -341173 69627.2
0 50 589419.640836 533944.851111 590519.951560 4.93515e-009 583496 83356.5 -475597 -240263 -34323.3 475597 -343233 68646.5
0 51 584587.602391 524803.360364 586042.819410 -6.0212e-009 578543 83846.9 -468803 -233447 -33832.9 468803 -345096 67665.9
0 52 579660.986087 515722.987135 581501.236278 2.59943e-008 573493 84337.2 -462009 -226730 -33342.6 462009 -346763 66685.2
0 53 574639.945042 506703.116880 576891.979617 2.5531e-007 568344 84827.5 -455215 -220110 -32852.3 455215 -348234 65704.6
0 54 569524.641410 497743.126259 572211.901462 1.88718e-008 563098 85317.9 -448420 -213589 -32361.9 448420 -349509 64723.9
0 55 564315.247063 488842.383093 567457.927623 1.76872e-008 557753 85808.2 -441626 -207165 -31871.6 441626 -350588 63743.2
0 56 559011.944321 480000.246322 562627.056795 -4.22575e-009 552311 86298.5 -434832 -200840 -31381.3 434832 -351470 62762.6
0 57 553614.926754 471216.065969 557716.359615 2.50049e-008 546770 86788.9 -428038 -194613 -30890.9 428038 -352157 61781.9
0 58 548124.400055 462489.183108 552722.977652 -1.48818e-009 541131 87279.2 -421243 -188484 -30400.6 421243 -352647 60801.2
0 59 542540.583003 453818.929831 547644.122348 1.87098e-008 535394 87769.5 -414449 -182453 -29910.3 414449 -352941 59820.6
0 60 536863.708510 445204.629224 542477.073913 8.47903e-010 529559 88259.8 -407655 -176520 -29419.9 407655 -353039 58839.9
0 61 531094.024770 436645.595348 537219.180184 -1.09641e-008 523626 88750.2 -400861 -170685 -28929.6 400861 -352941 57859.2
0 62 525231.796529 428141.133217 531867.855445 -9.19539e-010 517595 89240.5 -394066 -164948 -28439.3 394066 -352647 56878.6
0 63 519277.306473 419690.538789 526420.579222 1.20897e-009 511466 89730.8 -387272 -159309 -27949 387272 -352157 55897.9
0 64 513230.856764 411293.098956 520874.895056 -4.18725e-009 505239 90221.2 -380478 -153768 -27458.6 380478 -351470 54917.2
