e s0 s1 s2
0.041000 -143.341463 99.560976 48.780488
0.042000 -139.857143 97.238095 47.619048
0.043000 -136.534884 95.023256 46.511628
0.044000 -133.363636 92.909091 45.454545
0.045000 -130.333333 90.888889 44.444444
0.046000 -127.434783 88.956522 43.478261
0.047000 -124.659574 87.106383 42.553191
0.048000 -122.000000 85.333333 41.666667
0.049000 -119.448980 83.632653 40.816327
0.050000 -117.000000 82.000000 40.000000
0.051000 -114.647059 80.431373 39.215686
0.052000 -112.384615 78.923077 38.461538
0.053000 -110.207547 77.471698 37.735849
0.054000 -108.111111 76.074074 37.037037
0.055000 -106.090909 74.727273 36.363636
0.056000 -104.142857 73.428571 35.714286
0.057000 -102.263158 72.175439 35.087719
0.058000 -100.448276 70.965517 34.482759
0.059000 -98.694915 69.796610 33.898305
0.060000 -97.000000 68.666667 33.333333
0.061000 -95.360656 67.573770 32.786885
0.062000 -93.774194 66.516129 32.258065
0.063000 -92.238095 65.492063 31.746032
0.064000 -90.750000 64.500000 31.250000
0.065000 -89.307692 63.538462 30.769231
0.066000 -87.909091 62.606061 30.303030
0.067000 -86.552239 61.701493 29.850746
0.068000 -85.235294 60.823529 29.411765
0.069000 -83.956522 59.971014 28.985507
0.070000 -82.714286 59.142857 28.571429
0.071000 -81.507042 58.338028 28.169014
0.072000 -80.333333 57.555556 27.777778
0.073000 -79.191781 56.794521 27.397260
0.074000 -78.081081 56.054054 27.027027
0.075000 -77.000000 55.333333 26.666667
0.076000 -75.947368 54.631579 26.315789
0.077000 -74.922078 53.948052 25.974026
0.078000 -73.923077 53.282051 25.641026
0.079000 -72.949367 52.632911 25.316456
0.080000 -72.000000 52.000000 25.000000
0.081000 -71.074074 51.382716 24.691358
0.082000 -70.170732 50.780488 24.390244
0.083000 -69.289157 50.192771 24.096386
0.084000 -68.428571 49.619048 23.809524
0.085000 -67.588235 49.058824 23.529412
0.086000 -66.767442 48.511628 23.255814
0.087000 -65.965517 47.977011 22.988506
0.088000 -65.181818 47.454545 22.727273
0.089000 -64.415730 46.943820 22.471910
0.090000 -63.666667 46.444444 22.222222
0.091000 -62.934066 45.956044 21.978022
0.092000 -62.217391 45.478261 21.739130
0.093000 -61.516129 45.010753 21.505376
0.094000 -60.829787 44.553191 21.276596
0.095000 -60.157895 44.105263 21.052632
0.096000 -59.500000 43.666667 20.833333
0.097000 -58.855670 43.237113 20.618557
0.098000 -58.224490 42.816327 20.408163
0.099000 -57.606061 42.404040 20.202020
